period,pbp_order,abs_time,team_id,team_abbrev,flag_type,player_id,player_name,idle_seconds,description,resolved_via_last_name,sub_direction_inverted,lineup_json
2,218,1251.0,1610612745,HOU,missing_sub_in,1630224,Jalen Green,,Ja. Green 26' 3PT Pullup Jump Shot (13 PTS),false,false,"[203500, 1630256, 1641715, 1642263]"
2,219,1265.0,1610612742,DAL,missing_sub_in,202681,Kyrie Irving,,MISS Irving 5' Driving Layup,false,false,"[202691, 1629023, 1629655, 1631108]"
2,219,1265.0,1610612745,HOU,possible_missing_sub_out,1642263,Reed Sheppard,123.0,MISS Irving 5' Driving Layup,false,false,"[203500, 1630256, 1641715, 1642263]"
2,220,1266.0,1610612742,DAL,missing_sub_in,203076,Anthony Davis,,Davis REBOUND (Off:3 Def:10),false,false,"[202691, 1629023, 1629655, 1631108]"
2,224,1266.0,1610612742,DAL,sub_direction_inverted,203915,Spencer Dinwiddie,,SUB: Washington FOR Dinwiddie,false,true,"[202691, 203915, 1629655, 1631108]"
2,225,1266.0,1610612742,DAL,possible_missing_sub_out,203915,Spencer Dinwiddie,144.0,Davis Free Throw 2 of 2 (21 PTS),false,false,"[202691, 203915, 1629655, 1631108]"
2,221,1266.0,1610612745,HOU,missing_sub_in,1630578,Alperen Sengun,,Sengun S.FOUL (P2.T4) (P.Ransom),false,false,"[203500, 1630256, 1641715, 1642263]"
2,226,1290.0,1610612745,HOU,missing_sub_in,1630224,Jalen Green,,MISS Ja. Green 22' Pullup Jump Shot,false,false,"[203500, 1630256, 1641715, 1642263]"
2,227,1293.0,1610612742,DAL,missing_sub_in,1629023,P.J. Washington,,Washington REBOUND (Off:1 Def:1),false,false,"[202691, 203915, 1629655, 1631108]"
2,228,1294.0,1610612745,HOU,missing_sub_in,1641708,Amen Thompson,,Thompson P.FOUL (P2.PN) (P.Ransom),false,false,"[203500, 1630256, 1641715, 1642263]"
2,231,1306.0,1610612745,HOU,missing_sub_in,1630224,Jalen Green,,Ja. Green 25' 3PT Jump Shot (16 PTS) (Thompson 1 AST),false,false,"[203500, 1630256, 1641715, 1642263]"
2,232,1320.0,1610612742,DAL,missing_sub_in,203076,Anthony Davis,,Davis 25' 3PT Jump Shot (24 PTS) (Irving 2 AST),false,false,"[202691, 203915, 1629655, 1631108]"
2,233,1336.0,1610612745,HOU,missing_sub_in,1630224,Jalen Green,,MISS Ja. Green 25' 3PT Step Back Jump Shot,false,false,"[203500, 1630256, 1641715, 1642263]"
2,234,1341.0,1610612742,DAL,missing_sub_in,1629023,P.J. Washington,,Washington REBOUND (Off:1 Def:2),false,false,"[202691, 203915, 1629655, 1631108]"
2,235,1349.0,1610612742,DAL,missing_sub_in,203957,Dante Exum,,Exum 2' Driving Dunk (2 PTS) (Irving 3 AST),false,false,"[202691, 203915, 1629655, 1631108]"
2,236,1369.0,1610612745,HOU,missing_sub_in,1630578,Alperen Sengun,,MISS Sengun 6' Driving Layup,false,false,"[203500, 1630256, 1641715, 1642263]"
2,239,1370.0,1610612742,DAL,sub_direction_inverted,1629023,P.J. Washington,,SUB: Christie FOR Washington,false,true,"[202691, 203915, 1629023, 1629655]"
2,240,1374.0,1610612745,HOU,missing_sub_in,1630578,Alperen Sengun,,Sengun 16' Jump Shot (5 PTS) (Thompson 2 AST),false,false,"[203500, 1630256, 1641715, 1642263]"
2,241,1390.3,1610612742,DAL,missing_sub_in,203076,Anthony Davis,,Davis Out of Bounds Lost Ball Turnover (P1.T3),false,false,"[202691, 203915, 1629023, 1629655]"
2,242,1403.9,1610612745,HOU,missing_sub_in,1641708,Amen Thompson,,Thompson Alley Oop Dunk (9 PTS) (Ja. Green 2 AST),false,false,"[203500, 1630256, 1641715, 1642263]"
2,243,1411.2,1610612742,DAL,missing_sub_in,1631108,Max Christie,,Christie 24' 3PT Jump Shot (8 PTS) (Davis 5 AST),false,false,"[202691, 203915, 1629023, 1629655]"
2,244,1431.7,1610612745,HOU,missing_sub_in,1641708,Amen Thompson,,Thompson 1' Alley Oop Dunk (11 PTS) (Sengun 3 AST),false,false,"[203500, 1630256, 1641715, 1642263]"
2,245,1437.4,1610612742,DAL,missing_sub_in,1631108,Max Christie,,MISS Christie 1' Driving Dunk,false,false,"[202691, 203915, 1629023, 1629655]"
2,248,1439.8,1610612745,HOU,missing_sub_in,1631106,Tari Eason,,MISS Eason 41' 3PT Jump Shot,false,false,"[203500, 1630256, 1641715, 1642263]"
3,251,1440.0,1610612742,DAL,possible_missing_sub_out,202681,Kyrie Irving,175.0,Start of 3rd Period (4:27 PM EST),false,false,"[202681, 202691, 203076, 1629023, 1629655]"
